texto,categoria
"Convite para participar de reunião estratégica.",produtivo
"Relatório de qualidade mensal disponível.",produtivo
"Agendamento de visita técnica confirmado.",produtivo
"Solicitação de feedback sobre processo seletivo.",produtivo
"Atualização de calendário fiscal enviada.",produtivo
"Confirmação de agendamento de entrevista.",produtivo
"Relatório de testes concluído.",produtivo
"Convite para treinamento sobre gestão de tempo.",produtivo
"Planilha de inventário atualizada.",produtivo
"Solicitação de renovação de contrato enviada.",produtivo
"Confirmação de agendamento de auditoria.",produtivo
"Relatório de desempenho da filial disponível.",produtivo
"Convite para conferência online de inovação.",produtivo
"Lembrete: prazo de envio de proposta amanhã.",produtivo
"Agendamento de reunião de status confirmado.",produtivo
"Solicitação de parecer sobre viabilidade técnica.",produtivo
"Relatório de satisfação de clientes publicado.",produtivo
"Atualização sobre cronograma de implantação.",produtivo
"Convite para treinamento sobre liderança.",produtivo
"Planilha de previsão orçamentária enviada.",produtivo
"Confirmação de pagamento de fornecedores.",produtivo
"Relatório de incidentes de segurança atualizado.",produtivo
"Solicitação de ajustes em contrato vigente.",produtivo
"Convite para reunião de governança corporativa.",produtivo
"Checklist de pendências atualizado.",produtivo
"Relatório consolidado de produtividade enviado.",produtivo
"Confirmação de recebimento de mercadorias.",produtivo
"Convite para webinar sobre inovação digital.",produtivo
"Solicitação de parecer financeiro urgente.",produtivo
"Relatório de inspeção técnica em anexo.",produtivo
"Lembrete: envio de documentos até segunda-feira.",produtivo
"Atualização do status de manutenção enviada.",produtivo
"Convite para treinamento de comunicação.",produtivo
"Planilha de horas trabalhadas consolidada.",produtivo
"Confirmação de renovação de assinatura corporativa.",produtivo
"Relatório de testes de qualidade anexado.",produtivo
"Solicitação de revisão de material didático.",produtivo
"Convite para reunião de planejamento estratégico.",produtivo
"Atualização do manual de operações enviada.",produtivo
"Relatório de controle de estoque publicado.",produtivo
"Confirmação de inscrição em congresso científico.",produtivo
"Solicitação de atualização de perfil profissional.",produtivo
"Relatório de auditoria interna concluído.",produtivo
"Lembrete: prazo para envio de relatório mensal.",produtivo
"Convite para reunião com conselho administrativo.",produtivo
"Atualização de tabela de preços compartilhada.",produtivo
"Relatório de atividades de pesquisa disponível.",produtivo
"Confirmação de renovação de contrato.",produtivo
"Solicitação de envio de certificados digitais.",produtivo
"Relatório de desempenho de fornecedores anexado.",produtivo
"Convite para seminário internacional de negócios.",produtivo
"Agendamento de treinamento prático confirmado.",produtivo
"Lembrete: reunião de alinhamento às 15h.",produtivo
"Relatório de análise de dados publicado.",produtivo
"Confirmação de recebimento de parecer técnico.",produtivo
"Solicitação de documentação complementar.",produtivo
"Convite para fórum de inovação sustentável.",produtivo
"Relatório mensal de indicadores disponível.",produtivo
"Atualização sobre licitação em andamento.",produtivo
"Confirmação de agendamento de visita.",produtivo
"Solicitação de assinatura em documento.",produtivo
"Relatório consolidado de RH anexado.",produtivo
"Convite para treinamento de negociação.",produtivo
"Agenda de reuniões semanais enviada.",produtivo
"Confirmação de pagamento de taxas.",produtivo
"Relatório de desempenho acadêmico anexado.",produtivo
"Convite para reunião sobre novos projetos.",produtivo
"Solicitação de aprovação de orçamento.",produtivo
"Relatório de análise de mercado disponível.",produtivo
"Atualização do cronograma de eventos enviada.",produtivo
"Confirmação de inscrição em workshop.",produtivo
"Solicitação de validação de pesquisa.",produtivo
"Relatório de auditoria externa anexado.",produtivo
"Convite para congresso internacional online.",produtivo
"Agendamento de conferência confirmado.",produtivo
"Relatório de resultados trimestrais publicado.",produtivo
"Confirmação de participação em reunião.",produtivo
"Solicitação de parecer jurídico urgente.",produtivo
"Relatório de conformidade regulatória anexado.",produtivo

"Oferta imperdível! Descontos de até 70% em eletrônicos.",improdutivo
"Veja as novas fotos que seus amigos postaram.",improdutivo
"Você ganhou um cupom exclusivo, use ainda hoje!",improdutivo
"Atualizações das pessoas que você segue no Instagram.",improdutivo
"Parabéns! Você foi selecionado para uma promoção especial.",improdutivo
"Assista agora ao novo vídeo do seu canal favorito.",improdutivo
"Ganhe prêmios jogando online, inscreva-se grátis.",improdutivo
"Convite para participar de um sorteio exclusivo.",improdutivo
"Seu amigo comentou na sua última publicação.",improdutivo
"Aproveite frete grátis nas compras acima de R$199.",improdutivo
"Não perca a liquidação de final de semana!",improdutivo
"Novo jogo lançado, jogue de graça agora.",improdutivo
"Você recebeu uma solicitação de amizade.",improdutivo
"Veja os stories mais recentes de seus contatos.",improdutivo
"Compre agora e ganhe pontos em dobro.",improdutivo
"Assine nossa newsletter e receba brindes.",improdutivo
"Parabéns, você ganhou um vale-compras!",improdutivo
"Confira os produtos mais vendidos da semana.",improdutivo
"Convite para testar nosso novo aplicativo.",improdutivo
"Ganhe desconto extra comprando pelo app.",improdutivo
"Assista à estreia do filme exclusivo online.",improdutivo
"Você foi marcado em uma publicação.",improdutivo
"Convite para evento de lançamento de produto.",improdutivo
"Novo vídeo disponível no seu canal favorito.",improdutivo
"Aproveite promoção relâmpago válida até hoje.",improdutivo
"Convite para participar de grupo exclusivo no WhatsApp.",improdutivo
"Ganhe bônus em sua próxima recarga.",improdutivo
"Você recebeu novas recomendações de amizade.",improdutivo
"Assine agora e tenha acesso premium grátis por 30 dias.",improdutivo
"Promoção exclusiva: compre 1 e leve 2.",improdutivo
"Veja os bastidores da sua série favorita.",improdutivo
"Ganhe recompensas jogando agora.",improdutivo
"Convite para sorteio semanal de prêmios.",improdutivo
"Seu pedido está com frete grátis.",improdutivo
"Assista ao clipe musical recém-lançado.",improdutivo
"Você foi adicionado em um novo grupo.",improdutivo
"Receba alertas de novos seguidores.",improdutivo
"Compre hoje e ganhe cashback.",improdutivo
"Convite para live exclusiva de influenciador.",improdutivo
"Ganhe pontos extras comprando online.",improdutivo
"Confira os destaques da semana em moda.",improdutivo
"Novo desafio disponível no jogo.",improdutivo
"Você foi mencionado em comentário.",improdutivo
"Participe do quiz e concorra a prêmios.",improdutivo
"Convite para acompanhar transmissão ao vivo.",improdutivo
"Assine já e desbloqueie conteúdos premium.",improdutivo
"Oferta válida somente hoje, aproveite!",improdutivo
"Ganhe brindes exclusivos em compras acima de R$150.",improdutivo
"Veja quem curtiu sua última foto.",improdutivo
"Convite para festa virtual com DJs famosos.",improdutivo
"Compre online e retire grátis na loja.",improdutivo
"Assista ao trailer exclusivo liberado hoje.",improdutivo
"Você recebeu novos seguidores.",improdutivo
"Convite para promoção especial de aniversário.",improdutivo
"Ganhe desconto na sua próxima assinatura.",improdutivo
"Assine e receba novidades exclusivas.",improdutivo
"Promoção: compre agora e pague depois.",improdutivo
"Veja os melhores memes do dia.",improdutivo
"Você recebeu um novo match no aplicativo.",improdutivo
"Ganhe créditos extras em sua conta.",improdutivo
"Convite para participar de challenge online.",improdutivo
"Assista a transmissão esportiva exclusiva.",improdutivo
"Receba alertas de novos vídeos.",improdutivo
"Compre ingressos com desconto exclusivo.",improdutivo
"Convite para participar de comunidade online.",improdutivo
"Ganhe pontos acumulativos em compras.",improdutivo
"Você recebeu uma reação na sua postagem.",improdutivo
"Assine já e aproveite descontos especiais.",improdutivo
"Oferta exclusiva para membros premium.",improdutivo
"Veja a retrospectiva do seu ano.",improdutivo
"Convite para evento online de influenciadores.",improdutivo
"Ganhe prêmios diários jogando.",improdutivo
"Assista ao reality show online agora.",improdutivo
"Receba cupons semanais exclusivos.",improdutivo
"Compre agora e participe de sorteios.",improdutivo
"Convite para live interativa exclusiva.",improdutivo
"Ganhe bônus na sua primeira compra.",improdutivo
"Você recebeu uma nova curtida.",improdutivo
"Assine e desbloqueie promoções especiais.",improdutivo
"Promoção de lançamento disponível hoje.",improdutivo
"Veja quem visualizou seu perfil.",improdutivo
"Convite para festa online de aniversário.",improdutivo
"Ganhe desconto extra em produtos selecionados.",improdutivo
"Assista a pré-estreia exclusiva.",improdutivo
"Receba notificações de novos matches.",improdutivo
"Compre mais e ganhe cupons.",improdutivo
"Convite para evento exclusivo com celebridade.",improdutivo
"Ganhe cashback em compras digitais.",improdutivo
"Veja os conteúdos mais populares da semana.",improdutivo
"Assine já e receba e-books grátis.",improdutivo
"Promoção limitada: aproveite já!",improdutivo
"Você recebeu novas mensagens.",improdutivo
"Convite para quiz interativo ao vivo.",improdutivo
"Ganhe pontos ao indicar amigos.",improdutivo
"Assista a live exclusiva de lançamento.",improdutivo
"Receba alertas de promoção.",improdutivo
"Compre e ganhe brindes especiais.",improdutivo
"Convite para participar de beta fechado.",improdutivo
"Ganhe recompensas em dobro hoje.",improdutivo
"Veja quem comentou sua postagem.",improdutivo
"Assine e receba descontos semanais.",improdutivo
"Oferta exclusiva para você.",improdutivo
"Receba notificações de stories novos.",improdutivo
"Convite para comunidade VIP online.",improdutivo
"Ganhe créditos jogando diariamente.",improdutivo
"Assista ao show online exclusivo.",improdutivo
"Compre agora com desconto de lançamento.",improdutivo
"Você foi marcado em novo story.",improdutivo
"Convite para live especial de fim de ano.",improdutivo
"Ganhe cupons extras nesta semana.",improdutivo
"Assine para receber benefícios exclusivos.",improdutivo
"Promoção: até 80% de desconto.",improdutivo
"Veja os trending topics de hoje.",improdutivo
"Convite para evento digital gratuito.",improdutivo
"Ganhe bônus ao completar desafios.",improdutivo
"Assista a estreia da série online.",improdutivo
"Receba dicas de compras exclusivas.",improdutivo
"Compre online e ganhe frete grátis.",improdutivo
"Convite para sorteio de final de ano.",improdutivo
"Ganhe desconto em sua primeira assinatura.",improdutivo
"Veja os vídeos mais vistos da semana.",improdutivo
"Assine já e desbloqueie recompensas.",improdutivo
"Promoção relâmpago até meia-noite.",improdutivo
"Você recebeu novos emojis.",improdutivo
"Convite para quiz divertido online.",improdutivo
"Ganhe bônus em recargas digitais.",improdutivo
"Assista ao campeonato ao vivo.",improdutivo
"Receba alertas de descontos especiais.",improdutivo
"Compre ingressos antecipados com desconto.",improdutivo
"Convite para grupo fechado de fãs.",improdutivo
"Ganhe cashback dobrado hoje.",improdutivo
"Veja os destaques do mês.",improdutivo
"Assine e aproveite benefícios exclusivos.",improdutivo
"Promoção: leve 3 pague 2.",improdutivo
"Você foi convidado para um evento online.",improdutivo
